Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee,Oscar best director winner,Oscar best director nominee,Actor,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee,Oscar best actor winner,Oscar best actor nominee,Actress,Globe best actress winner,Globe best actress nominee,BAFTA best actress winner,BAFTA best actress nominee,Spirit best actress winner,Spirit best actress nominee,Guild best actress winner,Guild best actress nominee,Oscar best actress winner,Oscar best actress nominee
Anne of the Thousand Days ,1969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid ,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Cowboy ,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prime of Miss Jean Brodie,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"They Shoot Horses, Don't They?",1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sydney Pollack ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
"They Shoot Horses, Don't They?",1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sydney Pollack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Ordinary People ,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Elephant Man ,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ninth Configuration,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raging Bull ,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stunt Man,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Rush ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter O'Toole ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
The Stunt Man,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Rush ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter O'Toole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
The Stunt Man,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Rush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Peter O'Toole ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
The Stunt Man,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Rush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Peter O'Toole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
On Golden Pond ,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The French Lieutenant's Woman,1981,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Karel Reisz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jeremy Irons,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Prince of the City,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sidney Lumet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Treat Williams,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Ragtime,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miloš Forman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Reds ,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.T. the Extra-Terrestrial ,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing ,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Officer and a Gentleman,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Richard Gere,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Sophie's Choice,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
