Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
1988,Tom Hulce,Dominick and Eugene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Edward James Olmos ,Stand and Deliver,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Forest Whitaker,Bird,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Tom Cruise ,Born on the Fourth of July,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Daniel Day-Lewis ,My Left Foot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Jack Lemmon,Dad,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Al Pacino,Sea of Love,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Robin Williams ,Dead Poets Society,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Jeremy Irons ,Reversal of Fortune,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kevin Costner ,Dances with Wolves,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Richard Harris ,The Field,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Al Pacino,The Godfather Part III,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Robin Williams,Awakenings,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Nick Nolte ,The Prince of Tides,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Warren Beatty ,Bugsy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kevin Costner,JFK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Robert De Niro ,Cape Fear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Anthony Hopkins ,The Silence of the Lambs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Al Pacino ,Scent of a Woman,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Tom Cruise,A Few Good Men,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Robert Downey Jr. ,Chaplin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Jack Nicholson,Hoffa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Denzel Washington ,Malcolm X,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Tom Hanks ,Philadelphia,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Daniel Day-Lewis ,In the Name of the Father,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
