Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee
The Accidental Tourist ,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Cry in the Dark,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gorillas in the Mist,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi Burning ,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Running on Empty,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Unbearable Lightness of Being,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Born on the Fourth of July ,1989,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crimes and Misdemeanors,1989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dead Poets Society ,1989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Do the Right Thing,1989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glory,1989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dances with Wolves ,1990,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avalon,1990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Godfather Part III ,1990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodfellas ,1990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reversal of Fortune,1990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bugsy ,1991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JFK ,1991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Prince of Tides ,1991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Silence of the Lambs ,1991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thelma & Louise,1991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scent of a Woman ,1992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Crying Game ,1992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Few Good Men ,1992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Howards End ,1992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unforgiven ,1992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schindler's List ,1993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Age of Innocence,1993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In the Name of the Father ,1993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Piano ,1993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Remains of the Day ,1993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forrest Gump ,1994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legends of the Fall,1994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nell,1994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulp Fiction ,1994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quiz Show ,1994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sense and Sensibility ,1995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo 13 ,1995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braveheart ,1995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Bridges of Madison County,1995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leaving Las Vegas,1995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The English Patient ,1996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Breaking the Waves,1996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The People vs. Larry Flynt,1996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Secrets & Lies ,1996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shine ,1996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Titanic ,1997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Amistad,1997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Boxer,1997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good Will Hunting ,1997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L.A. Confidential ,1997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saving Private Ryan ,1998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elizabeth ,1998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gods and Monsters,1998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Horse Whisperer,1998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Truman Show,1998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
American Beauty ,1999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The End of the Affair,1999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hurricane,1999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Insider ,1999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Talented Mr. Ripley,1999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Gladiator ,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Elliot,2000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Erin Brockovich ,2000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sunshine,2000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traffic ,2000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wonder Boys,2000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Beautiful Mind ,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In the Bedroom ,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Lord of the Rings: The Fellowship of the Ring ,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Man Who Wasn't There,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mulholland Drive,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Hours ,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
About Schmidt,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gangs of New York ,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Lord of the Rings: The Two Towers ,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Pianist ,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Lord of the Rings: The Return of the King ,2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold Mountain,2003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Master and Commander: The Far Side of the World ,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mystic River ,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Seabiscuit ,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Aviator ,2004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Closer,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finding Neverland ,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hotel Rwanda,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kinsey,2004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Kinsey,2004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Million Dollar Baby ,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Brokeback Mountain ,2005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Constant Gardener,2005,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Good Night, and Good Luck ",2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A History of Violence,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Match Point,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babel ,2006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bobby,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Departed ,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Children,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Queen ,2006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Atonement ,2007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
