Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
1988,Running on Empty,Sidney Lumet,0.0,1.0,0.0,0.0,0.0,0.0
1988,Working Girl,Mike Nichols ,0.0,1.0,0.0,0.0,0.0,0.0
1989,Born on the Fourth of July,Oliver Stone ,1.0,1.0,0.0,0.0,0.0,0.0
1989,Dead Poets Society,Peter Weir ,0.0,1.0,0.0,0.0,0.0,0.0
1989,Do the Right Thing,Spike Lee,0.0,1.0,0.0,0.0,0.0,0.0
1989,Glory,Edward Zwick,0.0,1.0,0.0,0.0,0.0,0.0
1989,When Harry Met Sally...,Rob Reiner,0.0,1.0,0.0,0.0,0.0,0.0
1990,Dances with Wolves,Kevin Costner ,1.0,1.0,0.0,0.0,0.0,0.0
1990,The Godfather Part III,Francis Ford Coppola ,0.0,1.0,0.0,0.0,0.0,0.0
1990,Goodfellas,Martin Scorsese ,0.0,1.0,0.0,0.0,0.0,0.0
1990,Reversal of Fortune,Barbet Schroeder ,0.0,1.0,0.0,0.0,0.0,0.0
1990,The Sheltering Sky,Bernardo Bertolucci,0.0,1.0,0.0,0.0,0.0,0.0
1991,JFK,Oliver Stone ,1.0,1.0,0.0,0.0,0.0,0.0
1991,Bugsy,Barry Levinson ,0.0,1.0,0.0,0.0,0.0,0.0
1991,The Fisher King,Terry Gilliam,0.0,1.0,0.0,0.0,0.0,0.0
1991,The Prince of Tides,Barbra Streisand,0.0,1.0,0.0,0.0,0.0,0.0
1991,The Silence of the Lambs,Jonathan Demme ,0.0,1.0,0.0,0.0,0.0,0.0
1992,Unforgiven,Clint Eastwood ,1.0,1.0,0.0,0.0,0.0,0.0
1992,A Few Good Men,Rob Reiner,0.0,1.0,0.0,0.0,0.0,0.0
1992,Howards End,James Ivory ,0.0,1.0,0.0,0.0,0.0,0.0
1992,The Player,Robert Altman ,0.0,1.0,0.0,0.0,0.0,0.0
1992,A River Runs Through It,Robert Redford,0.0,1.0,0.0,0.0,0.0,0.0
1993,Schindler's List,Steven Spielberg ,1.0,1.0,0.0,0.0,0.0,0.0
1993,The Age of Innocence,Martin Scorsese,0.0,1.0,0.0,0.0,0.0,0.0
1993,The Fugitive,Andrew Davis,0.0,1.0,0.0,0.0,0.0,0.0
1993,The Piano,Jane Campion ,0.0,1.0,0.0,0.0,0.0,0.0
1993,The Remains of the Day,James Ivory ,0.0,1.0,0.0,0.0,0.0,0.0
1994,Forrest Gump,Robert Zemeckis ,1.0,1.0,0.0,0.0,0.0,0.0
1994,Legends of the Fall,Edward Zwick,0.0,1.0,0.0,0.0,0.0,0.0
1994,Natural Born Killers,Oliver Stone,0.0,1.0,0.0,0.0,0.0,0.0
1994,Pulp Fiction,Quentin Tarantino ,0.0,1.0,0.0,0.0,0.0,0.0
